x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
589383,1011841,32.27270126,291,1295.099976,262.3757935,0.382944435,971.2450562,686.7739868,686.7739868,0.953115165,-0.350751579,214,1
590260,1011977,9.398909569,48,1289.849976,91.54815674,0.338999927,1456.867554,971.2450562,485.6225281,0.423606724,-0.33029896,214,1
589900,1012100,26.63820076,148,1290.75,29.5213623,0.439967513,1373.547974,1085.88501,971.2450562,0.63541007,-0.378908128,214,1
589474,1011587,41.46469879,325,1289.150024,280.1246643,0.314636946,1535.673218,971.2450562,971.2450562,1.90623033,-0.284052521,214,1
590800,1011800,4.916669846,13,1287.170044,64.44003296,0.348753929,1942.490112,485.6225281,0,0.317705035,-0.317029536,214,1
590200,1011000,23.45219994,202,1286.119995,31.50426674,0.460273623,2171.77002,971.2450562,485.6225281,-0.105901681,-0.397730321,214,1
590754,1010670,16.6114006,163,1282.719971,59.79676056,0.306249291,2831.641602,485.6225281,485.6225281,0.529508412,-0.291452259,214,1
590265,1010267,7.428549767,475,1280.839966,72.21611023,0.408551812,2476.19873,686.7739868,686.7739868,0.105901681,-0.379968524,214,1
590300,1010800,32.93379974,317,1283.680054,17.19854164,0.428319097,2428.112549,971.2450562,686.7739868,2.118033648,-0.390111387,214,1
591110,1008976,26.33419991,480,1273.040039,81.17961884,0.383558095,3071.346436,0,0,-1.059016824,-0.343225867,214,1
591912,1009129,23.27330017,391,1271.400024,324.2933044,0.378501773,2831.641602,0,0,-0.529508412,-0.276324302,214,1
591029,1009448,47.17559814,422,1276.180054,55.64062119,0.352880836,3109.501465,0,0,-0.317705035,-0.334519565,214,1
593600,1009900,8.206729889,56,1273.900024,22.75097656,0.404675394,1456.867554,0,485.6225281,-0.105901681,-0.366414398,214,1
589968,1008461,11.79419994,367,1270.420044,335.8544617,0.278873771,2002.272949,0,0,-0.105901681,-0.252570897,214,1
594171,1007761,25.02809906,442,1257.060059,81.02737427,0.387835056,3915.214111,1942.490112,485.6225281,0.211803362,-0.364760756,214,1
594168,1007776,27.13260078,448,1257.060059,88.23760986,0.412345171,3915.214111,1942.490112,485.6225281,0,-0.364760756,214,1
597235,1007825,35.84790039,244,1248.050049,313.6573792,0.276906818,3109.501465,2913.735107,0,-0.105901681,-0.253791988,214,1
595800,1008300,0.81023097,4,1256.040039,0,0.336380661,2913.735107,3109.501465,485.6225281,0.105901681,-0.322152197,214,1
597300,1008360,28.81480026,133,1252.050049,299.5387878,0.334047645,3257.655029,3399.357666,485.6225281,-0.211803362,-0.303378016,28,1
595700,1007500,9.664409637,33,1253.109985,75.25643921,0.369454235,3433.869873,2953.926514,485.6225281,0.105901681,-0.351092517,214,1
594800,1006400,38.80329895,274,1241.569946,22.30620575,0.409167141,3915.214111,1750.93689,0,0,-0.380944222,214,1
592379,1005977,15.35439968,99,1246.810059,180.8814087,0.457050025,2060.321777,485.6225281,485.6225281,0.105901681,-0.41690889,214,1
591615,1006531,22.1916008,148,1255.339966,102.1714554,0.465035856,2002.272949,485.6225281,0,-0.317705035,-0.42453301,214,1
595223,1005015,24.2329998,624,1227.319946,357.73526,0.374280244,2615.157227,971.2450562,0,-1.270820141,-0.349199146,214,1
593226,1004404,19.69989967,110,1233.410034,220.8403625,0.340183079,1456.867554,0,485.6225281,0.105901681,-0.311181784,214,1
598443,1002217,23.94470024,142,1193.699951,237.7712402,0.283943236,971.2450562,1535.673218,1085.88501,-0.741311789,-0.266722888,214,1
594063,999766,14.36610031,111,1193.150024,289.1790161,0.418204218,686.7739868,971.2450562,3257.655029,0.105901681,-0.372301698,142,1
586800,997700,12.8458004,109,1123.699951,340.0835876,0.331008524,0,971.2450562,485.6225281,1.164918542,-0.309116423,140,1
584800,998500,10.14210033,101,1112.290039,98.53076935,0.424439102,971.2450562,971.2450562,1373.547974,-0.529508412,-0.406488627,28,1
584300,998300,3.337110043,113,1107.680054,6.340191841,0.384552181,1456.867554,485.6225281,1535.673218,-0.423606724,-0.358273476,28,1
584400,998300,5.111090183,116,1107.680054,300.9637451,0.397980094,1456.867554,485.6225281,1535.673218,-0.211803362,-0.369866878,28,1
584500,998100,4.916669846,117,1101.550049,239.0362396,0.338626772,1456.867554,485.6225281,1085.88501,0,-0.343899161,28,1
584200,997500,1.811249971,85,1095.550049,258.6900635,0.348303467,1535.673218,0,686.7739868,0,-0.324845493,28,1
584000,997500,3.43362999,80,1091.27002,102.5288086,0.338020265,2002.272949,0,485.6225281,0.423606724,-0.321904898,28,1
583100,997700,8.089079857,98,1084.170044,60.94539642,0.314216822,2953.926514,0,0,-0.105901681,-0.305442661,100,1
583100,997800,2.560640097,100,1089.959961,150.9453888,0.332724601,2913.735107,485.6225281,485.6225281,0.105901681,-0.322414279,100,1
583400,997800,4.124519825,94,1093.430054,123.6900711,0.35020408,2428.112549,0,686.7739868,0.317705035,-0.340828985,100,1
583400,997900,7.209119797,88,1093.430054,26.56505203,0.381604284,2428.112549,0,686.7739868,0.105901681,-0.349315554,100,1
583400,997950,2.429399967,85,1093.430054,45,0.360829353,2428.112549,0,686.7739868,-0.423606724,-0.331781805,100,1
583100,998500,13.51830006,108,1095.930054,137.0454102,0.416924328,2913.735107,686.7739868,971.2450562,-0.423606724,-0.386327296,100,1
581692,996353,16.94239998,260,1068.75,80.39479828,0.427193552,4149.160645,485.6225281,0,-0.741311789,-0.395306289,139,1
581945,996702,19.92510033,188,1068.75,121.3730087,0.44357264,4149.160645,485.6225281,0,0.423606724,-0.408756673,100,1
581433,996907,29.92790031,273,1071.439941,105.1858368,0.443845451,4477.218262,0,0,-0.63541007,-0.408746094,139,1
581813,997019,17.74469948,163,1073.52002,177.5104523,0.399599999,4004.545898,0,0,0,-0.368156999,100,1
581622,997096,29.93540001,234,1071.439941,115.559967,0.444617689,4477.218262,0,0,0.741311789,-0.386668533,100,1
584600,997000,4.044690132,72,1094.540039,161.5650482,0.41173017,1373.547974,485.6225281,0,0,-0.380270571,28,1
584300,996900,2.429399967,72,1089.660034,282.9946289,0.345536888,1750.93689,0,485.6225281,0,-0.32464391,100,1
584400,996800,4.044690132,75,1089.660034,236.3099365,0.30499649,1750.93689,0,485.6225281,0.529508412,-0.303023607,100,1
584500,996700,2.429399967,68,1083.890015,206.5650482,0.439094454,2060.321777,0,0,0,-0.410014987,100,1
584500,996600,6.8427701,66,1083.890015,14.03624344,0.397392243,2060.321777,0,0,-0.423606724,-0.372689873,100,1
584400,996500,8.842260361,75,1083.890015,56.30993271,0.398572892,2060.321777,0,0,-0.211803362,-0.364495277,100,1
584300,996300,7.641409874,94,1083.890015,101.3099289,0.380064666,2060.321777,0,0,0.211803362,-0.356044471,100,1
583850,996400,7.209119797,111,1079.660034,61.69924545,0.372551948,2428.112549,485.6225281,0,-0.953115165,-0.342419952,100,1
584300,997100,9.664409637,76,1089.660034,165.9637604,0.404097646,1750.93689,0,485.6225281,-0.423606724,-0.368745357,28,1
584350,997300,3.618880033,79,1095.550049,135,0.420153052,1535.673218,0,686.7739868,-0.211803362,-0.372241527,28,1
584300,997400,4.916669846,86,1095.550049,201.8014069,0.378825694,1535.673218,0,686.7739868,0.105901681,-0.354176879,28,1
582638,995869,19.82699966,238,1068.199951,97.48088837,0.378972322,3501.873779,1085.88501,971.2450562,0.211803362,-0.363336921,139,1
582567,995879,14.30290031,263,1066.119995,109.2900467,0.425158262,3915.214111,971.2450562,485.6225281,1.164918542,-0.400515079,139,1
582548,996021,31.18689919,241,1066.119995,7.016501904,0.403420448,3915.214111,971.2450562,485.6225281,0.63541007,-0.369999647,100,1
583800,995900,22.05859947,135,1074.089966,350.073761,0.415610611,2747.095947,686.7739868,485.6225281,0.423606724,-0.3741045,100,1
583750,996000,5.822919846,105,1074.089966,123.6900711,0.421684235,2747.095947,686.7739868,485.6225281,-0.529508412,-0.382419854,100,1
582930,995354,32.63190079,153,1063.579956,106.6207581,0.359606236,3792.833252,1535.673218,971.2450562,-0.63541007,-0.349574596,100,1
583850,995800,11.36489964,147,1068.709961,80.13419342,0.431543559,3109.501465,1085.88501,971.2450562,0.105901681,-0.396521688,100,1
581832,994379,15.02029991,186,1055.209961,144.462326,0.438284338,5162.238281,1373.547974,485.6225281,-0.741311789,-0.375133753,139,1
581900,994408,14.57419968,185,1055.209961,162.4744263,0.418197364,5162.238281,1373.547974,485.6225281,-0.529508412,-0.385464817,139,1
581814,994486,33.58729935,233,1055.209961,157.7360077,0.205442429,5162.238281,1373.547974,485.6225281,-0.317705035,-0.279093921,139,1
580931,992852,32.11629868,382,1056.47998,59.47029495,0.381722659,4177.48291,1373.547974,2615.157227,1.482623577,-0.370354623,33,1
579823,993286,25.10849953,528,1052.699951,32.95742416,0.419955105,4856.225098,1373.547974,2615.157227,-1.270820141,-0.42317614,33,1
579926,993445,21.6026001,460,1051.859985,57.89374542,0.400428265,5341.847656,1750.93689,2171.77002,0.63541007,-0.376537055,33,1
581065,992077,17.89010048,340,1059.51001,71.99584198,0.42404592,3792.833252,1085.88501,3071.346436,-1.270820141,-0.401655406,33,1
577226,991322,34.74290085,731,1076.910034,46.16913986,0.394390374,3433.869873,485.6225281,5684.065918,0.423606724,-0.36988613,33,1
580639,991459,67.70220184,539,1061.609985,85.4260788,0.415901273,3399.357666,485.6225281,3109.501465,-0.529508412,-0.38792482,33,1
580633,991532,56.99240112,541,1061.609985,125.2812042,0.443300992,3399.357666,485.6225281,3109.501465,-2.647542,-0.364145756,33,1
580509,991625,46.70899963,659,1061.609985,128.7365112,0.392398238,3399.357666,485.6225281,3109.501465,-1.482623577,-0.374733627,33,1
577124,991675,31.57710075,851,1075.079956,123.0238647,0.454276204,3915.214111,686.7739868,5494.191895,-0.847213447,-0.391946584,33,1
580481,991964,47.81790161,738,1057.890015,73.94392395,0.395147949,3884.980225,686.7739868,3257.655029,0,-0.357857347,33,1
580895,992027,40.52220154,444,1059.51001,63.75865173,0.445831358,3792.833252,1085.88501,3071.346436,-0.211803362,-0.411877722,33,1
586900,992000,10.14210033,397,1117.849976,191.3099365,0.410363257,2171.77002,485.6225281,1535.673218,0.953115165,-0.41279608,33,1
586100,991800,16.6114006,349,1114.119995,188.6156464,0.449094832,2428.112549,1085.88501,1373.547974,-0.105901681,-0.413398325,33,1
577390,991978,-9999,-9999,-9999,70.52342224,0.419235826,,,,0.847213447,-0.38849625,33,1
576987,991139,30.10630035,904,1076.910034,59.33543396,0.440898508,3433.869873,485.6225281,5684.065918,1.059016824,-0.412649393,33,1
581193,990577,17.43260002,267,1076.199951,154.6538239,0.38505289,2428.112549,485.6225281,1750.93689,-1.059016824,-0.355650395,33,1
580247,989448,15.11950016,171,1082.280029,169.6951599,0.344643801,971.2450562,971.2450562,1942.490112,-0.529508412,-0.328980565,33,1
