x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
585154.1875,1029076.375,5.111089706,-22,1327.828979,347.4711914,0.181526512,3433.869873,4607.02002,971.2450562,-0.529508412,-0.186600372,110,-1
585602.625,1029046.5,2.290610075,-21,1328.436157,261.8699036,0.134718642,3109.501465,4477.218262,971.2450562,0,-0.176787928,110,-1
586080.9375,1029016.563,0,-19,1329.008179,120.9637527,0.096390404,2831.641602,4397.499023,485.6225281,0.317705035,-0.141517103,110,-1
586529.375,1029076.375,2.290610075,-19,1329.543945,45,0.269678921,2615.157227,4370.602539,0,-0.105901681,-0.323372066,110,-1
585363.5,1028598.063,1.811248064,-19,1326.027954,303.6900635,0.325730115,3109.501465,4149.160645,971.2450562,0.211803362,-0.299944073,29,-1
585841.8125,1028508.375,2.560638905,-16,1326.672119,23.19859123,0.375947297,2747.095947,4004.545898,971.2450562,0.105901681,-0.3449426,29,-1
586409.8125,1028478.5,2.429397106,-21,1327.279175,116.5650482,0.260504216,2428.112549,3915.214111,485.6225281,-0.105901681,-0.246197045,29,-1
585094.4375,1028089.875,4.044691086,-19,1324.259033,348.6900635,0.304338783,2747.095947,3698.390869,1085.88501,-0.105901681,-0.295621306,29,-1
585602.625,1028000.188,0,-17,1324.94104,326.3099365,0.236695796,2428.112549,3535.385254,1085.88501,0.105901681,-0.215978757,29,-1
586140.75,1028000.188,2.560638905,-21,1325.583374,293.1985779,0.351438075,2060.321777,3433.869873,686.7739868,-0.105901681,-0.320486337,29,-1
584705.8125,1027611.563,6.936247826,-5,1321.761719,90,0.370144755,2747.095947,3501.873779,1085.88501,-0.529508412,-0.346503288,29,-1
585273.8125,1027521.875,4.916665554,-12,1322.522583,71.56504822,0.344781488,2428.112549,3257.655029,1373.547974,0.211803362,-0.33435753,29,-1
585871.6875,1027462.063,2.560638905,-15,1323.243042,356.1859131,0.336867988,2060.321777,3071.346436,1373.547974,0,-0.31743148,29,-1
586260.3125,1027372.375,5.111089706,-16,1323.921509,315,0.402652234,1750.93689,2953.926514,1085.88501,0,-0.365577936,29,-1
585034.625,1027222.875,1.811248064,-12,1320.016357,288.4349365,0.405994952,2428.112549,3109.501465,1535.673218,-0.105901681,-0.368773609,29,-1
584556.3125,1026894.063,1.811248064,-2,1319.172729,45,0.357701391,2615.157227,3433.869873,1373.547974,-0.423606724,-0.329600871,90,-1
585423.25,1026834.25,5.419335842,6,1319.148926,8.972626686,0.309661061,1750.93689,2428.112549,2171.77002,0,-0.306798577,29,-1
